log10(h)       	log10(blad)    
-1.066968946381916	-0.301029995663980
-1.044461605384064	-0.301029995663984
-1.020723758429279	-0.301029995663980
-0.995613037846247	-0.301029995663980
-0.968960843074807	-0.301029995663983
-0.940565471515342	-0.301029995663980
-0.910182842521621	-0.301029995663980
-0.877513725768253	-0.300219712256910
-0.842185763426510	-0.282408467390659
-0.803727511607334	-0.254324914228605
-0.761529831812879	-0.221571970423433
-0.714786428270553	-0.188585528703280
-0.662398358810865	-0.159309933615757
-0.602812668826621	-0.137726569927354
-0.533731749683322	-0.125926950826785
-0.451544993495972	-0.121618470468877
-0.350087352737195	-0.121043851578830
-0.217461787462604	-0.121150116847574
-0.025576261223691	-0.122235012842430
0.326606256887672	-0.134864877407651
