log10(h)       	log10(blad)    
-1.066968946381916	-0.301029995663980
-1.044461605384064	-0.301029995663984
-1.020723758429279	-0.301029995663980
-0.995613037846247	-0.301029995663980
-0.968960843074807	-0.301029995663983
-0.940565471515342	-0.301029995663980
-0.910182842521621	-0.301029995663980
-0.877513725768253	-0.301029995663982
-0.842185763426510	-0.301029995663982
-0.803727511607334	-0.301029995663982
-0.761529831812879	-0.301029995663983
-0.714786428270553	-0.301029995663982
-0.662398358810865	-0.292699022074229
-0.602812668826621	-0.271152172590629
-0.533731749683322	-0.246994602326868
-0.451544993495972	-0.228253855074465
-0.350087352737195	-0.219672184786624
-0.217461787462604	-0.218747954082643
-0.025576261223691	-0.218151384508242
0.326606256887672	-0.217657008281543
