		log10				x				exact value		f1(x)				absolute error		relative error		szereg				roznica_szereg		blad wzgledny
 -3.000000000000000000000e+001  1.000000000000000083336e-030  1.000000000000000000000e+000                             1  1.000000000000000000000e+000  1.000000000000000000000e+000  1.000000000000000000000e+000  0.000000000000000000000e+000  7.165326032804010177062e+254
 -2.998999999999999843681e+001  1.023292992280754167008e-030  1.000000000000000000000e+000                             1  1.000000000000000000000e+000  1.000000000000000000000e+000  1.000000000000000000000e+000  0.000000000000000000000e+000  7.165326032804010177062e+254
 -2.998000000000000042633e+001  1.047128548050899566468e-030  1.000000000000000000000e+000                             1  1.000000000000000000000e+000  1.000000000000000000000e+000  1.000000000000000000000e+000  0.000000000000000000000e+000  7.165326032804010177062e+254
 -2.996999999999999886313e+001  1.071519305237606478976e-030  1.000000000000000000000e+000                             1  1.000000000000000000000e+000  1.000000000000000000000e+000  1.000000000000000000000e+000  0.000000000000000000000e+000  7.165326032804010177062e+254
 -2.996000000000000085265e+001  1.096478196143185028228e-030  1.000000000000000000000e+000                             1  1.000000000000000000000e+000  1.000000000000000000000e+000  1.000000000000000000000e+000  0.000000000000000000000e+000  7.165326032804010177062e+254
 -2.994999999999999928946e+001  1.122018454301963401217e-030  1.000000000000000000000e+000                             1  1.000000000000000000000e+000  1.000000000000000000000e+000  1.000000000000000000000e+000  0.000000000000000000000e+000  7.165326032804010177062e+254
 -2.994000000000000127898e+001  1.148153621496882831135e-030  1.000000000000000000000e+000                             1  1.000000000000000000000e+000  1.000000000000000000000e+000  1.000000000000000000000e+000  0.000000000000000000000e+000  7.165326032804010177062e+254
 -2.992999999999999971578e+001  1.174897554939529523415e-030  1.000000000000000000000e+000                             1  1.000000000000000000000e+000  1.000000000000000000000e+000  1.000000000000000000000e+000  0.000000000000000000000e+000  7.165326032804010177062e+254
 -2.992000000000000170530e+001  1.202264434617412954791e-030  1.000000000000000000000e+000                             1  1.000000000000000000000e+000  1.000000000000000000000e+000  1.000000000000000000000e+000  0.000000000000000000000e+000  7.165326032804010177062e+254
 -2.991000000000000014211e+001  1.230268770812381600886e-030  1.000000000000000000000e+000                             1  1.000000000000000000000e+000  1.000000000000000000000e+000  1.000000000000000000000e+000  0.000000000000000000000e+000  7.165326032804010177062e+254
 -2.989999999999999857891e+001  1.258925411794167165505e-030  1.000000000000000000000e+000                             1  1.000000000000000000000e+000  1.000000000000000000000e+000  1.000000000000000000000e+000  0.000000000000000000000e+000  7.165326032804010177062e+254
 -2.989000000000000056843e+001  1.288249551693134039213e-030  1.000000000000000000000e+000                             1  1.000000000000000000000e+000  1.000000000000000000000e+000  1.000000000000000000000e+000  0.000000000000000000000e+000  7.165326032804010177062e+254
 -2.987999999999999900524e+001  1.318256738556407054007e-030  1.000000000000000000000e+000                             1  1.000000000000000000000e+000  1.000000000000000000000e+000  1.000000000000000000000e+000  0.000000000000000000000e+000  7.165326032804010177062e+254
 -2.987000000000000099476e+001  1.348962882591653596350e-030  1.000000000000000000000e+000                             1  1.000000000000000000000e+000  1.000000000000000000000e+000  1.000000000000000000000e+000  0.000000000000000000000e+000  7.165326032804010177062e+254
 -2.985999999999999943157e+001  1.380384264602884772958e-030  1.000000000000000000000e+000                             1  1.000000000000000000000e+000  1.000000000000000000000e+000  1.000000000000000000000e+000  0.000000000000000000000e+000  7.165326032804010177062e+254
 -2.985000000000000142109e+001  1.412537544622754354405e-030  1.000000000000000000000e+000                             1  1.000000000000000000000e+000  1.000000000000000000000e+000  1.000000000000000000000e+000  0.000000000000000000000e+000  7.165326032804010177062e+254
 -2.983999999999999985789e+001  1.445439770745927583092e-030  1.000000000000000000000e+000                             1  1.000000000000000000000e+000  1.000000000000000000000e+000  1.000000000000000000000e+000  0.000000000000000000000e+000  7.165326032804010177062e+254
 -2.982999999999999829470e+001  1.479108388168207364119e-030  1.000000000000000000000e+000                             1  1.000000000000000000000e+000  1.000000000000000000000e+000  1.000000000000000000000e+000  0.000000000000000000000e+000  7.165326032804010177062e+254
 -2.982000000000000028422e+001  1.513561248436208177858e-030  1.000000000000000000000e+000                             1  1.000000000000000000000e+000  1.000000000000000000000e+000  1.000000000000000000000e+000  0.000000000000000000000e+000  7.165326032804010177062e+254
 -2.980999999999999872102e+001  1.548816618912481383036e-030  1.000000000000000000000e+000                             1  1.000000000000000000000e+000  1.000000000000000000000e+000  1.000000000000000000000e+000  0.000000000000000000000e+000  7.165326032804010177062e+254
 -2.980000000000000071054e+001  1.584893192461113463381e-030  1.000000000000000000000e+000                             1  1.000000000000000000000e+000  1.000000000000000000000e+000  1.000000000000000000000e+000  0.000000000000000000000e+000  7.165326032804010177062e+254
 -2.978999999999999914735e+001  1.621810097358929998935e-030  1.000000000000000000000e+000                             1  1.000000000000000000000e+000  1.000000000000000000000e+000  1.000000000000000000000e+000  0.000000000000000000000e+000  7.165326032804010177062e+254
 -2.978000000000000113687e+001  1.659586907437560756777e-030  1.000000000000000000000e+000                             1  1.000000000000000000000e+000  1.000000000000000000000e+000  1.000000000000000000000e+000  0.000000000000000000000e+000  7.165326032804010177062e+254
 -2.976999999999999957367e+001  1.698243652461744259804e-030  1.000000000000000000000e+000                             1  1.000000000000000000000e+000  1.000000000000000000000e+000  1.000000000000000000000e+000  0.000000000000000000000e+000  7.165326032804010177062e+254
 -2.976000000000000156319e+001  1.737800828749375433310e-030  1.000000000000000000000e+000                             1  1.000000000000000000000e+000  1.000000000000000000000e+000  1.000000000000000000000e+000  0.000000000000000000000e+000  7.165326032804010177062e+254
